Id,Age,Job,Sex,Marital,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,CallStart,CallEnd,CarInsurance,IncomeGroup
42,40,blue-collar,Male,married,0,327,1,0,telephone,29,may,1,-1,0,11:29:28,11:31:42,0,2
43,35,management,Male,single,0,2707,0,0,cellular,5,feb,1,-1,0,9:23:59,9:35:38,1,3
44,40,admin,Female,married,0,2574,1,0,cellular,15,may,1,176,1,10:50:44,10:57:56,1,2
45,60,management,Male,married,0,70,0,0,cellular,21,aug,1,-1,0,11:15:10,11:15:46,0,3
46,35,blue-collar,Female,single,0,0,1,0,telephone,3,jun,3,-1,0,16:20:13,16:22:06,0,2
47,42,management,Female,divorced,0,283,1,0,cellular,23,jul,1,-1,0,12:00:12,12:12:53,1,3
48,79,retired,Male,divorced,0,79,0,0,cellular,9,oct,2,-1,0,16:23:38,16:42:04,1,3
49,46,admin,Male,single,0,13,0,0,telephone,2,jun,4,-1,0,17:02:45,17:03:56,0,3
50,33,technician,Male,divorced,0,464,0,0,cellular,4,feb,4,-1,0,9:31:15,9:34:42,0,2
51,54,services,Male,divorced,0,0,1,0,cellular,16,apr,1,-1,0,16:18:17,16:22:40,0,3
52,46,housemaid,Female,married,0,17,0,0,telephone,17,jun,1,-1,0,10:33:05,10:34:17,0,1
53,47,self-employed,Female,married,0,4420,1,1,cellular,20,nov,1,-1,0,13:17:32,13:25:06,1,2
54,78,retired,Female,married,0,3208,0,0,telephone,20,may,3,-1,0,16:00:27,16:06:18,1,2
55,31,blue-collar,Male,married,0,326,0,1,cellular,29,jan,1,-1,0,9:59:19,10:01:23,0,1
56,39,services,Female,married,0,52,0,0,telephone,2,feb,3,-1,0,16:04:36,16:28:16,1,2
57,31,admin,Female,married,0,457,1,0,cellular,21,nov,1,171,5,14:28:33,14:33:16,0,1
58,46,entrepreneur,Female,divorced,0,1187,0,1,cellular,13,oct,1,327,1,17:42:06,17:43:38,0,1
59,34,management,Female,single,0,6013,1,0,cellular,18,may,1,-1,0,13:52:00,14:02:12,1,1
60,52,unemployed,Female,married,0,5091,0,0,cellular,26,may,1,-1,0,12:25:24,12:30:33,0,3
61,36,management,Female,divorced,0,0,0,0,cellular,28,aug,4,-1,0,15:13:44,15:15:05,0,3
62,39,entrepreneur,Female,married,0,11887,0,0,cellular,18,nov,2,-1,0,16:56:27,17:16:08,1,1
63,18,student,Male,single,0,608,0,0,cellular,12,aug,1,-1,0,13:30:30,13:34:57,1,3
64,60,services,Female,married,0,-46,0,0,telephone,23,may,2,-1,0,16:36:39,16:38:51,0,3
65,36,services,Female,single,0,0,1,0,cellular,15,may,4,-1,0,9:43:23,10:00:05,1,2
66,57,management,Male,married,0,473,0,0,cellular,1,jun,1,-1,0,14:55:01,14:59:56,1,1
67,28,blue-collar,Male,single,0,1955,0,0,cellular,29,jan,1,-1,0,12:28:55,12:29:20,0,3
68,30,management,Female,married,0,860,1,0,cellular,20,apr,1,-1,0,10:53:09,10:56:14,0,1
69,41,blue-collar,Male,married,0,2689,1,0,cellular,15,apr,1,-1,0,17:24:03,17:26:18,1,3
70,58,management,Male,married,0,3768,1,0,telephone,18,jun,1,-1,0,17:14:32,17:19:48,0,3
71,23,housemaid,Male,married,0,66,1,0,cellular,7,may,2,-1,0,9:25:35,9:48:46,1,2
72,29,admin,Female,married,0,494,1,0,telephone,26,may,2,-1,0,14:51:53,14:57:34,0,3
73,25,technician,Female,single,0,1298,0,0,cellular,2,sep,7,94,2,14:02:27,14:05:53,0,1
74,39,blue-collar,Female,married,0,0,1,0,telephone,29,may,3,-1,0,13:50:30,13:53:59,0,3
75,45,technician,Male,divorced,0,0,0,0,cellular,27,aug,4,-1,0,17:29:40,17:30:38,0,1
76,55,technician,Male,divorced,0,3450,0,0,cellular,10,feb,1,183,1,13:29:13,13:32:02,1,3
77,32,technician,Male,married,0,903,1,0,cellular,23,jun,1,320,1,11:55:36,11:58:37,0,2
78,36,management,Female,married,0,722,1,0,telephone,30,may,1,-1,0,13:20:59,13:26:11,0,3
79,34,management,Male,single,0,11350,1,0,cellular,15,may,1,176,1,15:14:20,15:16:53,0,2
80,39,technician,Female,single,0,556,1,0,telephone,29,may,1,-1,0,15:54:02,15:59:24,0,2
81,49,admin,Female,single,0,716,1,0,telephone,15,may,3,-1,0,11:50:19,12:11:16,1,3
82,37,technician,Male,married,0,143,0,0,cellular,27,aug,6,-1,0,9:17:05,9:18:02,0,2
83,47,blue-collar,Female,married,0,802,1,1,cellular,12,may,2,-1,0,14:56:02,15:00:51,1,1
84,49,retired,Female,single,0,25824,0,0,telephone,17,jun,1,-1,0,10:54:42,10:56:16,0,2
85,49,unemployed,Male,married,0,518,0,0,cellular,29,jan,2,-1,0,9:49:16,10:21:13,1,2
86,34,admin,Female,divorced,0,0,0,0,cellular,10,jul,1,-1,0,17:50:22,17:54:50,0,2
87,40,blue-collar,Female,married,1,-94,1,1,telephone,7,may,1,-1,0,11:24:19,11:28:06,0,3
88,33,services,Male,married,0,210,1,0,cellular,13,may,2,-1,0,11:48:53,12:09:00,1,3
89,40,admin,Male,single,0,60,1,0,cellular,15,may,3,352,6,16:43:03,16:50:43,0,3
90,41,entrepreneur,Female,single,0,663,0,0,cellular,24,jul,1,-1,0,10:52:25,11:12:29,1,1
91,56,management,Male,married,0,830,1,1,telephone,6,may,1,-1,0,17:54:01,18:14:02,1,1
92,33,blue-collar,Female,single,0,-147,1,0,telephone,30,may,2,-1,0,16:00:27,16:11:19,0,1
93,43,blue-collar,Female,divorced,0,6,1,0,telephone,27,may,4,-1,0,12:01:04,12:02:56,0,2
94,46,services,Male,divorced,0,1263,1,0,telephone,21,nov,2,-1,0,14:35:34,14:39:14,0,2
95,39,blue-collar,Male,married,0,293,1,0,telephone,23,may,3,-1,0,14:48:50,14:51:30,0,2
96,44,management,Female,married,0,446,0,0,cellular,25,jul,12,-1,0,9:29:22,9:30:25,0,1
97,48,management,Female,divorced,0,657,0,1,cellular,29,jan,2,-1,0,16:59:18,17:03:29,0,1
98,39,blue-collar,Male,single,0,48,0,0,cellular,3,jun,1,-1,0,14:55:41,15:04:40,1,1
99,46,blue-collar,Male,married,0,3969,0,0,telephone,7,jul,5,-1,0,12:42:06,12:42:52,0,3
100,19,student,Male,single,0,103,0,0,cellular,18,jan,2,95,4,12:07:08,12:10:05,0,1
101,36,management,Male,married,0,753,0,0,cellular,16,apr,4,-1,0,14:01:15,14:02:31,0,2
102,43,technician,Male,married,0,3285,1,0,telephone,13,may,2,-1,0,11:00:26,11:29:07,1,1
103,46,technician,Female,married,0,9299,0,0,cellular,19,jul,1,276,2,15:58:44,16:17:52,1,2
104,56,retired,Female,married,0,9367,0,0,cellular,4,may,2,-1,0,15:33:30,15:43:47,1,3
105,57,management,Female,married,0,7162,0,0,cellular,17,nov,1,-1,0,9:04:38,9:06:01,0,3
106,33,technician,Female,married,0,1699,0,0,cellular,4,aug,1,-1,0,17:40:32,17:50:32,1,3
107,41,admin,Female,married,0,437,1,0,cellular,2,feb,1,-1,0,15:36:46,15:39:04,0,1
108,31,management,Female,married,0,69,0,0,cellular,20,aug,2,-1,0,10:53:20,10:56:35,0,3
109,52,management,Female,married,0,388,0,0,cellular,25,may,1,-1,0,10:43:50,10:48:22,1,1
110,48,blue-collar,Male,single,0,339,0,1,telephone,14,jul,4,-1,0,9:09:36,9:11:39,0,2
111,55,blue-collar,Female,married,0,49,1,0,cellular,7,jul,4,-1,0,13:53:23,14:01:37,1,1
112,50,technician,Female,married,0,3370,0,0,cellular,2,jun,2,-1,0,9:39:02,9:41:42,1,1
113,33,blue-collar,Male,single,0,-366,1,0,telephone,28,may,4,-1,0,12:21:46,12:23:07,0,1
114,31,management,Female,married,0,2667,1,0,cellular,2,mar,2,-1,0,15:56:53,15:58:06,0,3
115,33,admin,Female,married,0,899,1,0,telephone,26,may,3,-1,0,13:13:32,13:16:11,0,1
116,31,management,Male,married,0,1331,0,0,cellular,30,apr,1,86,3,10:34:28,10:39:25,1,2
117,37,services,Male,married,0,4151,1,1,cellular,30,jul,4,-1,0,16:23:41,16:32:44,1,3
118,62,retired,Male,married,0,569,0,0,cellular,4,feb,5,184,1,17:49:48,17:51:22,1,1
119,33,management,Female,married,0,1514,0,0,cellular,10,aug,1,728,2,14:38:11,14:45:38,1,1
120,40,management,Female,married,1,0,0,0,cellular,28,jul,5,-1,0,13:33:23,13:36:08,0,1
121,37,technician,Male,single,0,6101,0,0,cellular,6,feb,1,-1,0,11:44:15,11:46:36,1,1
122,46,management,Male,divorced,0,461,0,0,cellular,30,dec,2,-1,0,10:08:32,10:14:41,1,3
123,64,entrepreneur,Female,married,0,2331,0,0,telephone,9,nov,1,-1,0,13:54:34,13:57:55,1,2
124,43,unemployed,Male,married,0,519,0,0,telephone,20,jun,2,-1,0,14:40:48,14:57:01,1,1
125,57,blue-collar,Female,married,0,3109,0,0,cellular,15,sep,2,105,2,16:20:13,16:22:00,1,2
126,58,retired,Female,divorced,0,11,0,1,cellular,10,jul,5,-1,0,9:10:06,9:12:47,0,3
127,32,technician,Male,divorced,0,53,0,0,cellular,22,aug,2,-1,0,15:18:48,15:29:59,1,3
128,43,blue-collar,Male,married,0,699,1,1,cellular,20,nov,2,122,2,12:28:18,12:49:16,1,1
129,30,student,Female,single,0,3300,0,0,cellular,21,nov,1,-1,0,9:39:08,10:05:19,1,2
130,45,admin,Male,married,0,251,1,0,cellular,19,aug,2,-1,0,12:58:37,13:00:19,0,3
131,56,management,Male,married,0,318,0,1,telephone,9,jul,3,-1,0,9:00:50,9:04:56,0,3
132,44,management,Female,married,0,2724,0,0,cellular,28,dec,1,-1,0,14:48:36,15:03:29,1,3
133,61,management,Female,married,0,5157,0,0,cellular,13,mar,1,-1,0,14:49:47,14:56:59,0,1
134,37,technician,Male,divorced,0,1762,1,0,cellular,16,apr,1,317,1,15:20:49,15:25:58,0,2
135,56,retired,Male,married,0,343,0,1,cellular,9,jul,1,-1,0,12:13:08,12:14:25,0,1
136,46,admin,Female,married,0,368,0,0,cellular,20,aug,1,90,4,13:37:21,13:42:14,1,1
137,39,management,Female,divorced,0,1968,0,0,cellular,21,nov,1,-1,0,14:54:56,15:05:44,1,3
138,27,services,Male,single,0,302,0,0,cellular,3,jul,1,-1,0,11:43:28,11:46:51,1,2
139,33,blue-collar,Female,single,0,60,1,0,cellular,14,may,1,290,2,14:36:30,14:37:44,0,3
140,52,technician,Female,married,0,0,0,0,cellular,9,aug,3,94,4,16:32:21,16:34:46,0,2
141,45,blue-collar,Male,married,0,3092,1,1,cellular,12,may,2,-1,0,11:53:00,11:56:00,0,1
142,30,unemployed,Female,single,0,1058,0,0,cellular,4,feb,1,-1,0,10:40:58,10:49:33,0,1
143,46,services,Male,married,0,53,0,1,cellular,28,jul,3,-1,0,14:48:33,14:49:04,0,3
144,32,services,Female,single,0,-402,1,0,cellular,17,apr,1,-1,0,14:38:19,14:40:34,0,2
145,62,entrepreneur,Male,married,0,3904,0,0,telephone,29,jan,2,-1,0,15:27:45,15:34:28,1,2
146,24,student,Male,single,0,1123,0,0,cellular,13,jul,1,412,1,11:54:26,12:02:21,1,2
147,47,management,Male,single,0,159,0,0,telephone,29,oct,3,155,3,16:29:33,16:33:13,1,3
148,32,blue-collar,Female,single,0,5,1,1,telephone,8,may,1,-1,0,13:07:31,13:09:45,0,2
149,38,blue-collar,Male,married,0,3289,0,0,telephone,9,jun,2,-1,0,13:51:31,14:00:44,0,1
150,36,technician,Male,single,0,391,1,0,cellular,15,may,1,350,8,10:01:23,10:04:28,0,3
151,57,management,Male,divorced,0,854,0,0,cellular,27,aug,4,92,1,10:43:06,10:54:46,1,2
152,73,retired,Male,divorced,0,7111,1,0,cellular,12,oct,1,-1,0,10:02:40,10:05:06,1,3
153,55,technician,Female,divorced,0,0,1,0,telephone,30,may,1,-1,0,12:47:28,12:51:22,0,3
154,57,blue-collar,Male,married,0,3109,0,0,cellular,2,jun,2,-1,0,15:48:27,15:56:29,1,3
155,25,unemployed,Female,single,0,129,0,0,cellular,12,apr,3,-1,0,9:58:20,10:01:16,1,1
156,62,retired,Female,married,0,569,0,0,cellular,4,aug,1,1,8,17:08:06,17:12:54,1,3
157,45,technician,Male,married,0,4466,1,0,telephone,3,jun,1,-1,0,13:59:32,14:01:22,0,1
158,56,blue-collar,Female,married,0,1521,1,1,cellular,21,nov,2,179,3,17:24:04,17:24:23,0,1
159,33,management,Female,single,0,8038,1,0,cellular,19,nov,1,-1,0,9:40:58,9:41:58,0,3
160,45,blue-collar,Female,single,0,116,0,0,telephone,13,apr,1,-1,0,13:49:02,13:51:04,1,2
161,63,blue-collar,Female,married,0,641,0,0,cellular,27,may,2,-1,0,17:50:43,17:57:40,1,3
162,57,retired,Female,married,0,2020,0,0,telephone,19,jun,4,-1,0,16:58:34,17:00:07,0,1
163,60,retired,Female,married,0,208,0,0,cellular,20,aug,4,-1,0,9:16:18,9:17:28,0,1
164,61,self-employed,Male,divorced,0,52587,0,0,cellular,15,feb,3,189,1,16:53:39,17:00:13,1,2
165,56,blue-collar,Male,married,0,2561,0,0,telephone,20,jun,6,-1,0,13:03:46,13:03:59,0,3
166,26,blue-collar,Male,single,0,82,1,0,telephone,9,may,1,-1,0,10:04:16,10:15:10,1,3
167,58,unemployed,Female,divorced,0,729,0,1,cellular,9,feb,2,-1,0,17:48:25,17:49:25,0,2
168,46,services,Female,married,0,273,0,0,cellular,22,aug,2,-1,0,10:21:06,10:30:31,1,3
169,28,management,Male,single,0,2840,0,0,cellular,20,apr,5,-1,0,10:14:42,10:18:29,1,2
170,57,technician,Male,married,0,253,0,1,telephone,3,jul,3,-1,0,16:38:41,16:42:31,0,3
171,36,technician,Male,single,0,2921,0,0,telephone,31,jul,7,-1,0,10:46:54,10:47:49,0,2
172,44,blue-collar,Female,married,0,16178,1,0,cellular,21,nov,1,-1,0,13:55:29,14:00:26,0,2
173,54,services,Male,divorced,0,0,0,0,cellular,18,mar,1,290,3,9:10:43,9:16:45,1,3
174,38,technician,Female,married,0,557,1,0,cellular,16,nov,4,-1,0,11:41:55,12:07:51,1,1
175,34,management,Male,single,0,4348,1,0,cellular,28,aug,8,-1,0,9:34:44,9:40:57,0,2
176,27,services,Female,single,0,683,1,0,telephone,9,may,3,-1,0,11:14:40,11:15:24,0,1
177,29,self-employed,Female,single,0,1579,0,0,cellular,13,oct,1,92,5,10:19:56,10:23:06,1,2
178,31,blue-collar,Female,married,0,2827,1,0,telephone,8,may,3,-1,0,9:18:31,9:22:29,0,2
179,50,technician,Female,divorced,0,0,0,0,cellular,29,sep,1,120,2,9:30:25,9:33:04,1,2
180,60,retired,Male,married,0,108,0,0,cellular,26,aug,1,-1,0,11:56:00,12:06:24,1,3
181,32,services,Male,married,0,243,1,1,telephone,6,may,1,-1,0,14:49:11,14:51:35,0,1
182,36,services,Male,married,0,-27,1,1,cellular,7,jul,4,-1,0,12:12:43,12:15:14,0,2
183,45,admin,Female,married,0,205,0,0,cellular,4,may,1,90,2,17:21:58,17:31:10,1,3
184,40,technician,Female,divorced,0,0,0,0,telephone,17,jun,1,-1,0,11:05:32,11:14:14,1,2
185,38,technician,Female,married,0,497,0,0,telephone,14,apr,1,-1,0,10:46:03,10:48:56,1,3
186,30,management,Male,single,0,985,1,0,cellular,25,oct,1,94,2,12:09:48,12:14:52,1,3
187,31,management,Female,married,0,3739,0,0,cellular,11,aug,3,-1,0,10:10:02,10:11:59,0,1
188,28,management,Female,single,0,6784,0,0,cellular,1,oct,1,115,3,14:02:32,14:10:54,1,3
189,49,blue-collar,Male,divorced,0,-9,1,1,telephone,5,may,1,-1,0,16:54:35,17:01:04,0,3
190,34,self-employed,Female,married,0,0,0,0,cellular,28,aug,11,-1,0,11:25:10,11:37:20,1,2
191,51,blue-collar,Female,divorced,0,113,0,0,cellular,15,may,3,-1,0,9:38:11,9:39:22,0,1
192,35,unemployed,Male,divorced,0,118,0,0,telephone,20,jun,4,-1,0,16:57:51,16:58:03,0,2
193,41,student,Female,single,0,595,1,0,telephone,18,sep,1,107,2,14:43:39,14:44:01,0,1
194,49,housemaid,Female,married,0,0,0,0,telephone,9,jul,1,-1,0,10:35:31,10:37:17,0,2
195,33,management,Male,single,0,3143,0,0,cellular,29,jun,2,-1,0,16:01:11,16:08:12,1,2
196,53,admin,Female,married,0,53,1,0,cellular,18,may,1,-1,0,11:51:17,11:57:44,1,3
197,45,management,Female,married,0,1447,1,1,cellular,7,jul,2,-1,0,17:49:12,17:56:53,0,2
198,36,self-employed,Male,divorced,0,6385,1,0,cellular,21,nov,2,-1,0,13:21:55,13:23:05,0,3
199,43,management,Male,married,0,3186,0,0,cellular,16,nov,1,88,1,15:07:14,15:13:34,1,1
200,31,blue-collar,Female,married,0,290,1,0,cellular,15,may,1,291,3,12:06:11,12:08:39,0,3
201,56,blue-collar,Female,married,0,8163,0,0,cellular,14,aug,4,-1,0,10:49:49,11:10:20,1,2
202,48,admin,Male,married,0,13551,0,0,telephone,11,jun,3,-1,0,9:23:19,9:24:48,0,2
203,40,technician,Female,single,0,431,0,0,cellular,7,jul,2,-1,0,17:11:55,17:14:55,1,2
204,60,admin,Male,married,0,711,0,0,cellular,12,aug,4,-1,0,11:28:17,11:34:12,0,1
205,45,admin,Male,married,0,0,0,0,cellular,14,aug,2,-1,0,9:28:25,9:30:18,0,2
206,45,technician,Female,single,0,7108,1,1,telephone,30,may,3,-1,0,13:22:02,13:42:14,0,1
207,55,technician,Female,divorced,1,4,0,0,cellular,28,jan,1,-1,0,15:22:04,15:39:32,1,3
208,41,blue-collar,Female,married,0,3658,1,0,cellular,9,apr,1,330,1,15:06:29,15:10:57,0,2
209,46,management,Male,married,0,699,0,0,cellular,30,apr,1,87,1,13:49:36,14:05:46,1,2
210,41,entrepreneur,Female,married,0,8491,1,0,cellular,18,nov,1,-1,0,11:27:47,11:43:16,1,3
211,51,admin,Female,married,0,423,1,1,cellular,16,jul,5,183,2,9:05:35,9:06:59,0,3
212,55,technician,Female,divorced,0,0,0,0,cellular,17,nov,2,91,1,9:38:42,9:40:56,1,2
213,34,services,Male,married,0,790,1,0,cellular,20,apr,2,350,1,13:15:22,13:25:01,0,2
214,40,admin,Female,married,0,341,0,0,cellular,31,jul,5,-1,0,12:18:41,12:37:43,1,1
215,31,unemployed,Male,single,0,582,1,0,cellular,5,jun,2,-1,0,14:53:34,15:02:42,1,1
216,32,management,Female,single,0,623,0,0,cellular,6,jul,3,194,2,10:53:19,10:58:54,1,1
217,37,services,Male,single,0,1045,0,0,cellular,4,feb,1,-1,0,13:33:29,13:38:30,0,2
218,31,services,Male,married,0,0,1,0,cellular,29,jan,2,-1,0,16:39:03,16:42:47,0,3
219,56,retired,Male,married,0,281,0,0,cellular,3,mar,2,-1,0,17:26:47,17:28:23,1,1
220,26,blue-collar,Male,single,0,-295,1,0,cellular,6,may,1,-1,0,9:51:59,9:54:17,0,1
221,45,management,Male,married,0,160,0,0,cellular,10,nov,2,194,1,11:56:01,11:59:03,1,3
222,32,management,Female,married,0,134,1,1,cellular,15,may,3,-1,0,11:52:39,12:01:31,1,1
223,41,management,Male,married,0,472,1,0,cellular,10,jul,1,-1,0,9:44:38,9:57:41,0,3
224,28,blue-collar,Male,married,0,-95,1,0,telephone,13,may,1,-1,0,16:57:01,17:00:21,0,1
225,42,blue-collar,Female,married,0,0,1,0,cellular,30,jan,2,-1,0,12:29:50,12:31:12,0,1
226,46,technician,Male,married,0,179,0,1,telephone,18,jun,1,-1,0,17:06:35,17:08:44,0,1
227,55,retired,Female,divorced,0,0,0,0,cellular,18,may,1,370,1,14:07:10,14:17:26,1,1
228,26,student,Male,single,0,641,1,0,cellular,15,may,1,368,1,17:04:03,17:04:58,0,3
229,29,management,Female,single,0,3041,1,0,cellular,8,may,3,-1,0,9:04:51,9:14:57,1,2
230,40,management,Male,divorced,0,502,1,0,cellular,3,feb,4,270,3,13:22:49,13:27:16,0,2
231,29,management,Female,single,0,2531,0,0,cellular,19,aug,1,-1,0,12:09:37,12:20:11,1,2
232,33,technician,Male,married,0,218,1,1,cellular,10,aug,1,161,4,15:57:04,15:59:46,0,3
233,43,technician,Female,single,0,11115,0,0,cellular,23,oct,1,74,2,15:38:46,15:46:42,1,1
234,31,technician,Female,married,0,-119,1,0,cellular,18,may,5,-1,0,14:50:50,14:50:59,0,3
235,27,technician,Female,single,0,158,0,0,telephone,1,jul,2,-1,0,13:09:51,13:20:41,1,1
236,40,entrepreneur,Male,married,0,70,0,0,cellular,20,nov,1,-1,0,14:24:29,14:25:26,0,3
237,58,admin,Female,married,0,3735,0,0,cellular,17,nov,2,-1,0,15:30:33,15:32:04,0,3
238,41,management,Male,married,0,8553,1,0,cellular,12,aug,12,-1,0,15:16:39,15:21:43,0,3
239,40,technician,Male,married,0,84,1,0,cellular,8,aug,3,-1,0,17:26:28,17:28:27,0,1
241,49,management,Male,married,0,68,1,1,telephone,19,may,3,-1,0,9:18:22,9:21:05,0,1
242,41,technician,Female,married,0,459,1,0,telephone,19,may,1,-1,0,10:55:29,10:57:11,0,2
243,57,technician,Male,married,0,1070,0,0,telephone,19,jun,1,-1,0,17:18:00,17:19:13,0,2
244,59,retired,Female,married,0,3400,1,0,cellular,5,aug,3,-1,0,15:07:17,15:15:52,1,2
245,48,blue-collar,Female,married,0,1730,1,0,cellular,4,feb,1,178,2,15:53:25,16:01:34,1,1
246,46,technician,Male,married,0,6993,1,0,cellular,17,apr,3,148,1,9:30:56,9:36:22,0,1
247,44,blue-collar,Female,married,0,1529,1,0,cellular,30,apr,1,-1,0,17:15:15,17:21:02,1,3
248,48,management,Female,divorced,0,-547,0,0,cellular,21,nov,2,-1,0,11:33:59,11:38:34,0,2
249,33,technician,Female,married,0,168,1,0,telephone,26,may,2,-1,0,15:44:42,15:48:40,0,1
250,33,admin,Female,divorced,0,891,0,0,cellular,8,may,2,-1,0,14:35:50,14:42:28,1,1
251,37,management,Female,single,0,-119,1,0,telephone,11,jun,11,-1,0,13:49:39,13:55:54,0,2
252,39,blue-collar,Male,married,0,1181,1,0,cellular,30,jul,2,-1,0,9:12:00,9:22:50,1,1
253,39,self-employed,Male,married,0,2630,0,0,telephone,12,jun,5,-1,0,17:44:36,17:55:27,1,2
254,24,unemployed,Female,single,0,2696,0,0,cellular,7,sep,2,-1,0,14:24:25,14:26:12,0,1
255,58,blue-collar,Male,married,0,0,1,0,cellular,31,jul,25,-1,0,12:45:22,12:45:27,0,3
256,46,management,Male,divorced,0,-130,1,0,cellular,24,mar,2,-1,0,12:12:06,12:14:30,1,2
257,39,services,Female,single,0,-244,1,0,telephone,8,may,2,-1,0,9:12:25,9:14:57,0,3
258,36,blue-collar,Female,married,0,711,1,0,telephone,23,may,2,-1,0,9:15:22,9:17:56,0,3
259,43,blue-collar,Male,married,0,184,0,1,cellular,16,jul,11,-1,0,13:41:08,13:58:07,1,1
260,35,blue-collar,Female,single,0,1830,0,0,cellular,14,oct,2,-1,0,14:30:58,14:33:44,0,1
261,48,blue-collar,Female,married,0,649,0,0,telephone,19,jun,2,-1,0,9:14:08,9:16:24,0,1
262,48,technician,Male,married,0,480,0,1,cellular,23,jul,1,-1,0,9:50:56,9:57:07,0,2
263,41,blue-collar,Female,married,1,720,0,1,cellular,24,jul,1,-1,0,17:16:09,17:27:00,1,3
